Дата,Kлики,Показы,CTR,Позиция
2025-12-22,98,12552,0.78%,10.7
2025-12-23,120,12579,0.95%,17.5
2025-12-24,99,8252,1.2%,12.6
2025-12-25,94,10137,0.93%,10.9
2025-12-26,96,7019,1.37%,11.3
2025-12-27,118,6864,1.72%,10
2025-12-28,123,25485,0.48%,12.9
2025-12-29,102,9574,1.07%,13.9
2025-12-30,92,9697,0.95%,14.3
2025-12-31,77,7018,1.1%,10
2026-01-01,91,10831,0.84%,10.1
2026-01-02,93,8255,1.13%,8.3
2026-01-03,95,9527,1%,10.1
2026-01-04,127,12209,1.04%,12
2026-01-05,109,13790,0.79%,12
2026-01-06,134,15712,0.85%,12.6
2026-01-07,114,8500,1.34%,11
2026-01-08,121,12295,0.98%,10.1
2026-01-09,117,9368,1.25%,12.4
2026-01-10,116,8926,1.3%,11.5
2026-01-11,99,23829,0.42%,14.1
2026-01-12,105,10553,0.99%,15
2026-01-13,79,19043,0.41%,22.5
2026-01-14,92,17488,0.53%,20.8
2026-01-15,91,8669,1.05%,12.4
2026-01-16,101,6378,1.58%,12.7
2026-01-17,93,7007,1.33%,13.4
2026-01-18,100,23766,0.42%,13.4
2026-01-19,114,8427,1.35%,14.6
2026-01-20,120,12406,0.97%,15.8
2026-01-21,100,6383,1.57%,12.6
2026-01-22,83,9049,0.92%,9.9
2026-01-23,83,6640,1.25%,16.5
2026-01-24,61,5909,1.03%,12.8
2026-01-25,60,17319,0.35%,16.2
2026-01-26,72,7436,0.97%,18.6
2026-01-27,76,10344,0.73%,21.8
2026-01-28,93,11816,0.79%,21.2
2026-01-29,70,7377,0.95%,13
2026-01-30,74,7044,1.05%,17.1
2026-01-31,84,8218,1.02%,18.8
2026-02-01,97,24079,0.4%,15.1
2026-02-02,105,9379,1.12%,15.2
2026-02-03,106,11026,0.96%,14.4
2026-02-04,85,7469,1.14%,13.7
2026-02-05,84,6943,1.21%,14.1
2026-02-06,73,11106,0.66%,14.6
2026-02-07,90,5244,1.72%,13.5
2026-02-08,96,20778,0.46%,14.4
2026-02-09,126,13264,0.95%,13.1
2026-02-10,93,9748,0.95%,20.7
2026-02-11,82,6225,1.32%,13.9
2026-02-12,94,9912,0.95%,17.8
2026-02-13,66,6077,1.09%,15.7
2026-02-14,72,5374,1.34%,13.7
2026-02-15,94,27136,0.35%,14.7
2026-02-16,94,36841,0.26%,14.7
2026-02-17,94,11951,0.79%,17.4
2026-02-18,73,7250,1.01%,15.7
2026-02-19,73,10697,0.68%,16.8
2026-02-20,59,6097,0.97%,14.8
2026-02-21,51,5068,1.01%,13.4
2026-02-22,92,17007,0.54%,15.4
2026-02-23,79,10172,0.78%,16.9
2026-02-24,107,7856,1.36%,16
2026-02-25,82,11153,0.74%,12.1
2026-02-26,80,7207,1.11%,13.2
2026-02-27,68,6432,1.06%,14.2
2026-02-28,76,4356,1.74%,11.2
2026-03-01,67,16487,0.41%,13.7
2026-03-02,73,15964,0.46%,14.7
2026-03-03,75,7349,1.02%,11.5
2026-03-04,79,8137,0.97%,16
2026-03-05,95,5322,1.79%,13.4
2026-03-06,78,5417,1.44%,11.6
2026-03-07,73,5226,1.4%,11
2026-03-08,66,16428,0.4%,13.6
2026-03-09,63,6202,1.02%,16
2026-03-10,70,5646,1.24%,16.1
2026-03-11,78,6961,1.12%,14.6
2026-03-12,69,6030,1.14%,12.2
2026-03-13,64,4616,1.39%,12.8
2026-03-14,69,5082,1.36%,11.4
2026-03-15,71,17550,0.4%,13.5
2026-03-16,93,6751,1.38%,13.2
2026-03-17,101,7438,1.36%,12.4
2026-03-18,94,11101,0.85%,12.2
2026-03-19,64,9450,0.68%,14.9
2026-03-20,59,4423,1.33%,13
2026-03-21,63,4107,1.53%,12.2
