Страна,Kлики,Показы,CTR,Позиция
Россия,7310,877753,0.83%,14.56
Нидерланды,130,4279,3.04%,6.5
Германия,83,4155,2%,7.2
Беларусь,30,3901,0.77%,13.41
Казахстан,29,4808,0.6%,18.84
США,22,11352,0.19%,5.92
Неизвестный регион,22,1106,1.99%,6.59
Грузия,18,781,2.3%,6.75
Латвия,17,690,2.46%,7.49
Таиланд,17,616,2.76%,7.17
Украина,15,5498,0.27%,35.02
Турция,15,847,1.77%,9.76
Армения,14,532,2.63%,8.26
Индия,13,1002,1.3%,10.73
Великобритания,12,1451,0.83%,7.27
Кыргызстан,10,1279,0.78%,7.21
Польша,10,1091,0.92%,7.51
Молдова,10,710,1.41%,8.19
Финляндия,10,632,1.58%,6.8
Франция,9,658,1.37%,7.69
Индонезия,8,533,1.5%,8.86
Израиль,8,420,1.9%,7.44
Вьетнам,7,2545,0.28%,11.92
Узбекистан,7,975,0.72%,6.88
Швеция,7,369,1.9%,7.41
Австрия,6,385,1.56%,7.7
Сербия,6,200,3%,7.67
Объединенные Арабские Эмираты,5,361,1.39%,8.32
Албания,5,110,4.55%,8.29
Канада,4,1051,0.38%,3.59
Эстония,4,679,0.59%,28.97
Италия,4,482,0.83%,8.53
Норвегия,4,351,1.14%,7.15
Литва,4,320,1.25%,6.61
Китай,4,221,1.81%,6.38
Иран,4,167,2.4%,8.66
Испания,3,731,0.41%,7.55
Чехия,3,306,0.98%,8.05
Швейцария,3,233,1.29%,8.31
Ирак,3,188,1.6%,11.74
Дания,3,106,2.83%,7.97
Сингапур,3,91,3.3%,6.67
Катар,3,44,6.82%,8.57
Бразилия,2,2116,0.09%,11.15
Аргентина,2,921,0.22%,12.08
Филиппины,2,404,0.5%,11.97
Азербайджан,2,390,0.51%,11.48
Таджикистан,2,388,0.52%,6.59
Египет,2,303,0.66%,10.18
Южная Корея,2,224,0.89%,7.58
Алжир,2,167,1.2%,10.37
Япония,2,165,1.21%,7.7
Малайзия,2,141,1.42%,9.16
Словакия,2,96,2.08%,6.69
Венгрия,2,92,2.17%,8.46
Саудовская Аравия,1,367,0.27%,12.23
Бангладеш,1,281,0.36%,11.93
Румыния,1,164,0.61%,9.13
Туркменистан,1,154,0.65%,7.62
Южная Африка,1,153,0.65%,11.08
Бельгия,1,149,0.67%,7.45
Португалия,1,129,0.78%,7.16
Кипр,1,129,0.78%,7.76
Гонконг,1,124,0.81%,6.12
Словения,1,26,3.85%,6.58
Мьянма (Бирма),1,18,5.56%,9.78
Йемен,1,9,11.11%,8.33
Гвинея,1,2,50%,4.5
Мексика,0,573,0%,11.24
Пакистан,0,275,0%,11.88
Колумбия,0,257,0%,10.08
Марокко,0,209,0%,11.32
Чили,0,186,0%,12.04
Болгария,0,165,0%,8.61
Эквадор,0,165,0%,11.55
Венесуэла,0,144,0%,11.53
Греция,0,111,0%,8.61
