"url","lastAccess","title"
"https://irepair.ru/catalog/remont-iphone/iphone-8/","20.03.2026","Ремонт iPhone 8 серии | Бесплатная диагностика за 30 минут"
"https://irepair.ru/catalog/remont-iphone/iphone-12/","20.03.2026","Ремонт iPhone 12 (Pro / Max / Mini) в Москве — Цены и Сроки | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-x/remont-iphone-x/zamena-modema-7419/","20.03.2026","Ремонт модема iPhone X в Москве — Нет сети? | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-12/remont-iphone-12/vosstanovlenie-ios-s-sohraneniem-dannyh-7074/","20.03.2026","Восстановление iOS iPhone 12 — Ошибка 1110 / Память | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-8/remont-iphone-8/zamena-displeya-7639/","20.03.2026","Замена экрана iPhone 8 в Москве — Недорого | iRepair"
"https://irepair.ru/catalog/remont-iphone/ayfon-popala-voda-pod-ekran/","20.03.2026","Вода под экраном iPhone — Замена подсветки | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-15/15-pro/15-pro-zamena-raz-ema-zaryadki/","20.03.2026","Замена разъема зарядки iPhone 15 Pro — Ремонт USB-C | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-6/remont-iphone-6/zamena-displeya-7954/","20.03.2026","Замена экрана iPhone 6 в Москве — Недорого | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-11/remont-iphone-11-pro-max/zamena-displeya-7077/","20.03.2026","Замена экрана iPhone 11 Pro Max в Москве — Оригинал | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-se/remont-iphone-se-3/zamena-displeya-7436/","20.03.2026","Замена экрана iPhone SE 3 в Москве — Цена | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-se/remont-iphone-se-1/zamena-displeya-7538/","20.03.2026","Замена экрана iPhone SE в Москве — Дешево | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-8/remont-iphone-8-plus/zamena-displeya-7588/","20.03.2026","Замена экрана iPhone 8 Plus в Москве с гарантией | iRepair "
"https://irepair.ru/catalog/remont-iphone/iphone-15/15-pro-max5567/","20.03.2026","Ремонт iPhone 15 Pro Max в Москве — Оригинал | iRepair"
"https://irepair.ru/catalog/remont-iphone/iphone-x/remont-iphone-xr/zamena-displeya-7333/","20.03.2026","Замена экрана iPhone XR в Москве — Цена дисплея | iRepair"
