"Поисковая система","Поисковая система (детально)","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей","Доход по избранным целям, RUB","Конверсия посетителей по избранным целям"
"Итого и средние","","","11628","9382","0.27261781905744753","2.3231854145166837","00:01:59","707","0.0","0.03847793647409934"
"Google","Google, результаты поиска","Не определено","6816","5360","0.2783157276995305","2.4875293427230045","00:02:13","396","0.0","0.03861940298507463"
"Яндекс","Яндекс, результаты поиска","Не определено","1764","1485","0.28401360544217685","1.8270975056689343","00:01:44","82","0.0","0.024915824915824912"
"Яндекс","Яндекс, результаты поиска","irepair","240","151","0.10416666666666669","3.7625","00:02:32","52","0.0","0.1456953642384106"
"Яндекс","Мобильный Яндекс","irepair","66","61","0.015151515151515152","2.4696969696969697","00:01:00","13","0.0","0.18032786885245902"
"Яндекс","Яндекс, результаты поиска","установка защитного стекла remax гарантия","48","1","0.0","5.520833333333333","00:03:01","3","0.0","1.0"
"Bing","Bing, результаты поиска","Не определено","48","48","0.20833333333333337","2.875","00:02:05","5","0.0","0.0625"
"Яндекс","Яндекс, результаты поиска","irepair на маяковской","43","37","0.16279069767441862","5.8604651162790695","00:02:25","13","0.0","0.16216216216216217"
"DuckDuckGo","DuckDuckGo","Не определено","43","39","0.34883720930232553","1.302325581395349","00:00:20","0","0.0","0.0"
"Яндекс","Яндекс: мобильное приложение","Не определено","31","3","0.03225806451612903","6.193548387096774","00:04:22","7","0.0","0.33333333333333326"
"Яндекс","Яндекс, результаты поиска","Irepair","23","23","0.043478260869565216","2.5217391304347827","00:00:54","2","0.0","0.08695652173913043"
"Яндекс","Мобильный Яндекс","замена стекла iphone 12","18","18","0.0","2.5","00:00:57","4","0.0","0.2222222222222222"
"Яндекс","Мобильный Яндекс","замена аккумулятора в macbook pro 2015","17","1","0.17647058823529413","2.2941176470588234","00:13:32","6","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","Irepair маяковская","16","1","0.0625","1.3125","00:05:14","5","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","site:irepair.ru","16","1","0.0625","9.875","00:10:38","1","0.0","1.0"
"Яндекс","Яндекс, результаты поиска","айрепэйр","14","1","0.0","3.7142857142857144","00:02:58","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","замена wifi модуля iphone 6 plus","12","12","0.16666666666666663","1.4166666666666667","00:00:23","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","сколько ремонт айфона","12","12","0.5","1.6666666666666667","00:00:00","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","замена nand iphone 6s","11","11","0.09090909090909091","2.272727272727273","00:01:04","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","ремонт iphone","11","11","0.0","2.6363636363636362","00:00:21","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена дисплея макбук эйр","9","1","0.1111111111111111","4.222222222222222","00:01:18","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","ремонт iphone","9","9","0.0","2.6666666666666665","00:00:31","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","замена матрицы макбук","9","9","1.0","1.0","00:00:00","0","0.0","0.0"
"Яндекс","Мобильный Яндекс","цена ремонта дисплея iphone","9","9","0.33333333333333326","2.2222222222222223","00:00:00","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","iRepair","8","8","0.25","3.0","00:05:03","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","замена батареи macbook","8","2","0.0","6.625","00:08:22","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","i repair","7","7","0.14285714285714285","3.2857142857142856","00:01:13","0","0.0","0.0"
"Яндекс","Яндекс, результаты поиска","москва большая садовая улица 5 irepair","7","5","0.0","5.285714285714286","00:07:01","6","0.0","0.6"
